SCaLE Budget 2014-2023,,"$1,782,900",Actual (20x),,Actual (19x),,,,Actual (18x),,Actual (17x),,Actual (16x),,Actual (15x),,Actual (14x),,Actual (13x),,Actual (12x),
Grafana Labs,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Gremlin,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Harness Inc.,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
IEEE SA Open,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Intellibus,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
ITopia,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Kloudfuse, Inc.",1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Kubecost,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Linux Magazine,2,"$3,500",Media,"$2,000",None,$0,,,Media,"$1,500",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Loft Labs, Inc.",1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Maira,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Mondoo,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
NanoVMS,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Neuralink,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Octopus Deploy PTY Ltd.,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Okteto,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
OpenCost,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
PagerDuty,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Port,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
ProsperOps,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Quest,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Replicated, Inc.",1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Retool,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
ScoutAPM,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Spacelift, Inc.",1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Supplyframe,1,"$3,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Reception,"$3,500",None,$0,None,$0
Temporal Technologies Inc,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Tetrate.io,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
TuxCare,1,"$3,500",Silver,"$3,500",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Veryant,1,"$3,500",None,$0,Silver,"$3,500",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Willing Minds,1,"$3,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Reception,"$3,500",None,$0,None,$0
Aerospace Corporation,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Anchore,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Apcera,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Aurio,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Beachbody,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Bitergia,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Buoyant, Inc.",1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
CFEngine,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000"
Chaossearch,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Circonus,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Citrix Systems Inc.,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0
Coastline College,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Codestream,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
Cribl Inc,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
"Crunchy Data Solutions, Inc.",1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Datera,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Dell Technologies,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
"Diamanti, Inc.",1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
Fast Reports,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Fauna,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Floqast,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
FOSS Force,2,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Media,"$1,500",Media,"$1,500",None,$0
FOSSA,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
"Gravitational, Inc",1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
GumGum,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
HashiCorp Inc,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Inktank,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000"
InMotion Hosting,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Invoca,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
"JFrog, Inc",1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Kubegrid,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
LinuxQuestions.org,2,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Media,"$1,500",None,$0,Media,"$1,500",None,$0,None,$0
logdna,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Lopsa,2,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Media,"$1,500",None,$0,Media,"$1,500",None,$0,None,$0
LWN.net,2,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Media,"$1,500",None,$0,Media,"$1,500",None,$0,None,$0
MemSQL,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Microway,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
moog,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Nagios,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
NATS,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Nylas,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
ODroid,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000"
OpenLogic,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
OrangeFS,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Orchid,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Pivotal,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
"PlanetScale, Inc.",1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Platform9 Systems, Inc.",1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Procore,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Purism,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
QNAP,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Redis Labs,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Resin.io,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Sauce Labs Inc,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Scalyr,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Scylla,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
Sensu,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
ShiftLeft,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Signal FX,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Signal Sciences,2,"$3,000",None,$0,None,$0,,,None,$0,Special Event,"$2,000",None,$0,Special Event,"$1,000",None,$0,None,$0,None,$0
SMCI,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Sparkpost,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
"Sumo Logic, Inc.",1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
Taos,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
ThinkPenguin,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Trend Micro Incorporated,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Turris,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Twilio,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Twistlock,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0
UCLA Law,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Uffizzi,1,"$3,000",None,$0,None,$0,,,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Vaddy,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
VICIdial,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0
Whitesource,1,"$3,000",None,$0,None,$0,,,None,$0,Silver,"$3,000",None,$0,None,$0,None,$0,None,$0,None,$0
Yelp,1,"$3,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Silver,"$3,000",None,$0,None,$0
FOSSLife,2,"$2,500",Media,"$2,000",Media,$500,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
KubeEvents,2,"$2,500",Media,"$2,000",Media,$500,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
"Minio, Inc",2,"$2,500",None,$0,None,$0,,,None,$0,None,$0,Media,"$1,500",Special Event,"$1,000",None,$0,None,$0,None,$0
Orabuntu-LXC,1,"$2,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,Reception,"$2,500",None,$0,None,$0,None,$0
Yocto Project,2,"$2,300",None,$0,None,$0,,,None,$0,None,$0,None,$0,Speaker Track,"$1,500",Speaker Track,$800,None,$0,None,$0
Cars.com,2,"$2,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Special Event,"$1,000",Special Event,"$1,000"
Cloud7,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
IT's FOSS,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Learnk8s,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Linux.org,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Open Source JobHub,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Open Source Watch,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Palamida,1,"$2,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Special Event,"$2,000",None,$0,None,$0
StackHawk,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
The New Stack,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
TrendOceans,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
TuxDigital,1,"$2,000",Media,"$2,000",None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
ActiveState,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Speaker Track,"$1,500",None,$0
Bitnami,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,Speaker Track,"$1,500",None,$0,None,$0,None,$0
DevOps.com,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Media,"$1,500",None,$0,None,$0
Droplabs,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,Media,"$1,500"
Fedora,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,Speaker Track,"$1,500"
Home Advisor,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,Media,"$1,500",None,$0,None,$0,None,$0
InformIT,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,Media,"$1,500",None,$0,None,$0,None,$0
Joyent,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,Speaker Track,"$1,500"
Linux Action Show,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Media,"$1,500",None,$0,None,$0
Linux Professional Institute,2,"$1,500",None,$0,Media,$500,,,None,$0,None,$0,None,$0,None,$0,None,$0,Special Event,"$1,000",None,$0
Maxcdn,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Speaker Track,"$1,500",None,$0
OC Hackers for Good,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Media,"$1,500",None,$0,None,$0
Perforce,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,Media,"$1,500"
Shellcon,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,Media,"$1,500",None,$0,None,$0,None,$0,None,$0
Status.io,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,Media,"$1,500",None,$0,None,$0,None,$0,None,$0
Ubuntu User,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Media,"$1,500",None,$0,None,$0
Unix Stickers,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,Media,"$1,500",None,$0,None,$0
Vivid Seats,1,"$1,500",None,$0,None,$0,,,None,$0,None,$0,None,$0,Media,"$1,500",None,$0,None,$0,None,$0
Acelio,1,"$1,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Special Event,"$1,000",None,$0
Ansible,1,"$1,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,Special Event,"$1,000"
dtk.io,1,"$1,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Special Event,"$1,000",None,$0
Flexera,1,"$1,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,Special Event,"$1,000",None,$0,None,$0,None,$0
No Starch Press,1,"$1,000",None,$0,Raffle,"$1,000",,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
One Course Source,1,"$1,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Special Event,"$1,000",None,$0
StackStorm,1,"$1,000",None,$0,None,$0,,,None,$0,None,$0,None,$0,None,$0,None,$0,Special Event,"$1,000",None,$0
9to5 Linux,1,$500,None,$0,Media,$500,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Admin Magazine,1,$500,None,$0,Media,$500,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
Faun,1,$500,None,$0,Media,$500,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0
nixCraft,1,$500,None,$0,Media,$500,,,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0,None,$0